p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
8.96469369300637e-102	1.02380808087461	0.64	0.141	2.445747733326e-97	0	cyp26b1
5.99774572877358e-71	0.627435762203997	0.681	0.253	1.63630498972401e-66	0	egfl6.1
1.81094975681173e-62	0.652636225792629	0.993	0.92	4.94063312653376e-58	0	ptmaa
9.60440150349827e-59	0.742702315439149	0.575	0.179	2.6202728181844e-54	0	CABZ01093502.1
2.59475243461556e-48	0.480567787761787	0.456	0.135	7.07900359211817e-44	0	sfrp5
1.26772045140075e-41	0.301200038696206	1	0.998	3.45859493551154e-37	0	id1
1.76156406528955e-40	0.312601208790187	0.447	0.146	4.80589908292295e-36	0	si:ch211-156j16.1
8.89012303952007e-39	0.667767675202576	0.378	0.112	2.42540336764186e-34	0	dbx1b
1.91739608377842e-37	0.423362816080172	0.658	0.334	5.23103999576428e-33	0	hoxa2b
2.37485621267819e-36	0.588605851113793	0.378	0.114	6.47908271942864e-32	0	dbx1a
2.77379321032644e-34	0.365906792775212	0.744	0.409	7.5674626364126e-30	0	foxb1a
1.80255496017734e-32	0.427858428838841	0.989	0.951	4.91773044235582e-28	0	hspb1
1.35459442146941e-31	0.420909902239488	0.816	0.547	3.69560450065285e-27	0	myclb
1.79255650352458e-30	0.419329266785879	0.903	0.723	4.89045265291576e-26	0	fsta
6.76689980968666e-30	0.379462440654301	0.667	0.374	1.84614560607872e-25	0	auts2b
3.46984097681866e-29	0.360212764682537	0.742	0.453	9.46642015295666e-25	0	pax6a
1.03156058407199e-28	0.353194410665247	0.719	0.436	2.81430358546519e-24	0	irx3a
2.44107768983753e-28	0.335839533806532	0.674	0.39	6.65974815341475e-24	0	zgc:165461
1.19383636483666e-27	0.34470776594111	0.683	0.391	3.25702437054737e-23	0	nr2f1b
5.94027588971815e-27	0.345156313703823	0.6	0.307	1.62062606823291e-22	0	sox21a
8.11341862224221e-27	0.32285750733131	0.946	0.848	2.21350286852012e-22	0	fzd7a
4.41251135949494e-26	0.300573408766392	0.699	0.436	1.20382134909741e-21	0	nrarpb
5.65098148855093e-25	0.31279368337589	0.751	0.52	1.54170076970646e-20	0	pou3f3b
7.71538747670831e-24	0.328856034238128	0.524	0.268	2.10491201139556e-19	0	ntn1a
1.400409276338e-22	0.312030864632985	0.987	0.937	3.82059658770534e-18	0	mdka
1.68704529066542e-20	0.307583732812481	0.351	0.153	4.60259696199339e-16	0	zgc:174888
3.36623825919304e-20	0.496259774112775	0.312	0.121	9.18377121873046e-16	0	her3
1.54725858062294e-15	0.300883674764694	0.98	0.962	4.22123085965552e-11	0	her4.3
2.27534876066686e-13	0.349573631386378	0.27	0.124	6.20760648885132e-09	0	gsx1
5.67941331049652e-12	0.4229172687434	0.461	0.294	1.54945753936966e-07	0	fabp7a
1.53210390575895e-78	0.716714180083971	1	0.826	4.17988587569156e-74	1	mdkb
1.50289199307083e-77	0.772496174587083	0.974	0.44	4.10018993549584e-73	1	zic2b
9.78528459239924e-67	0.632536285992328	0.867	0.32	2.66962134249836e-62	1	zic3
1.2284936763775e-59	0.439875099564928	0.412	0.068	3.35157644789309e-55	1	casz1
